K1d12_029_1 aAdGaaDc-a-AeC-BdBCaayaAAAaaaaCAAaAczAA-aBazAaayaaAAfvaaAAdwBcAaaaaaDaaAEaaaaaBAbcaBAAaaAAAaCaaAdzaAgudABcBBccaaaxadAdCAbaDcDAaaAAAa-baAbyADaaaa-xa-faB-aA-ABbb--aABbaa---aCcCAaadAbbAaaCzAaAzAaaBAby-BD-daAGA--AaAa-aabAB-bAaAaaA-AbGaeaAaABAabCAa
K1d12_030_0 aAaaaBABAacABcaCaAdAazbBD-cCeAaACeAavaAaaaAaCA-ED--aaaEfFgDAdFfCaBabEeaaaBbAAbaIAaaGfEAeAdBaaEbBAabBAaCbaAaaaaC-CacCacaGcb-BAAaaaCbccBabBAAaaaAAcyAAbAbAAAaaAa-aAcxcAbAbAbADAc--aCac-AbGBb-ab-AbA-aAAbAa-aABAaAbAaaaaA-AaaabBAABA-myCbAaAAAaaa-aAyAAaaaaAyCbAzbdAv-AbAaau-AaABcBa-bx-bu
K1d12_030_1 ecaA-aAbBB-b-B--dDaabD----Hb-dac-bB-B----aCAbaEfCA--EADAe-bd-bF-bA-cAbEaiCB-AacBc-aDbFeaCbABaaaCBbaa-bDEeacaEaACcaacAHbBaaFafC-c-Aa--iCCcaaCAa-aAccAABAetz
K1d12_031_0 Ebm--Bd-BAcaBAIebA-aD-aaayBDbbAA-cbDaaBaB-d-bB-a-dD--dEbbDaacaAAbAJhbB-bb--AyF--kaEDb
K1d12_031_1 -aaaCb-AaAaAAabaaEa-Caa-Aa-dFAaCAEcABbAaaaAd---CbaaaAb-dDecBaa----aCbCaGaaaA-BA--a----CAg--bBya--B--bB-y-bB--AAAA-AAabBacAabBaucAAbAbDabb--aaaaAAdBAaEhHhDdHhFaa-b-AAcaAaACdAaCbaEbAAbAabAa-azaAaAC-AaAAdEeEfa-aaKeAAAAdBAAAAdAAdGAabCaaacaB-b-AABbCCCdEdAa-BAbA-a
K1d12_032_0 A-c-AAAgACbaAAAaAaAAbaaAaDAbaaAaAbxacC-BaBaaaaAaCaa-ACAAaaaBcbAACabAzdCADAadbAAbAAcDC-b-by-dBB-AacAAbAbxaAaaaEbEbzBCA-acAa-a-wwBAbd-a--AABCCeEaAaaAbayd-AaLaAaaaaAaAbFdAaaAaAAa---z-ABBDAAc--AaAabaC-ABAaaaA-aCbbAAbBaCbCdabAAaAbAz-CdAcEbabAAcByaab-CcCz
K1d12_032_1 AfAaa-AAf-AAd-aaEeab-aGgbz---aayDaAcazfGCgBAAdIfAE--fAa---zaay-abAcDcaCAAC--BcABabcEafAAaDAAacdwaaBaBaaAd-zadCAAbBagwuCaaABAbaaC-c-bC-b-acaE-aaaBaadD-BbaAAcaaaAfA-aaaAaaaaByAbaAy-Ab-w--BaaC-abB
K1d12_034_0 BcBB---AaaazaabAxaaAauaabAxAcAau-bAAaaAaaDaaaaAxaaAaAAwACb-bAaawAzAAAcaAaybxdaaEaaBaaaaCbAeFzaaaaCaavDbzcaaCzaDAbaaaAaxAAAaaaa-yAaAAaCAbaAabAabaAuAaCaAAAzaxDaaaAaxAaCaAAAzaAaDaaaAyxABB----a-azac-AxaaAaCAAbAy-awaAvAAAxaAdABAbaub-bbAa-dAbBaaaaAaaAaAAAAAAB-aAaaAbAA--ac--Aa--Aa
K1d12_034_1 BbAACcaaAaaAAaaAAzaAzaaBaaaaBaaaaCaAxaaAbAAAAaaAbaaaCaJCACcaaeDAACcaaAaAACaaaaaEa-aADAAaaAcaAAAAAbAAfzAAaAxababAaxfay-aAAAaaAbAAAA-aAAazxAa-ax-aAzAADaaaaaC-aAAbBaaaDaAAabAabAa---aCaaaadA---BaaaaaAD
K1d12_035_0 B--B-B-BAaaaaaA-cCaaAaaDCaa-h-aaAax--DcEfzaaCzaaa-AaAAxAAEcaAAAAAAaa-aAaa-aaBAbBaAEAaBabDaaaaAdGaACCbAAAAAaAaACgAAAdDAaaaBabFaaAaAabBaebaAGbAaaCbaAaaaBaaaaavB-yyA-dAaEaaazdaazCdAABaaA-aAAAAABeaAc--A-awCCaaaAAbByaaaAAAAaAAAAAbDeaAAbAAAAabzavCaAxAAaacCy
K1d12_035_1 AAAAAAa-zaaAaBaaaaAaAxacD-BzaAAaDdAazbDeaayaaAayaacu-bAAaaAaFB-fAbGaaaaAxaaAaAAAB-AAAa-aAAzAAAaaaAaC--baAzAyCaaaAaaawaaaCaADAAaaaaayAaaaaaaDaaaawaaAaDa-baaaaAAAAdAAAbAaADAaaaaBabAax-aAAdbBAAAaA-AaaabAAABzaAAbaAaaACxAAAzAcvAaCbAaaaAaxaACxAAAzCaxAAAAbaaaAax
